symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
HAL,2022-05-11,2022-05-12,739.33,720.31,-2.57,MOMENTUM_FADE
HAL,2022-10-17,2022-10-25,1127.38,1194.09,5.92,PARTIAL_EXIT_50%
HAL,2022-10-17,2022-10-27,1127.38,1202.01,6.62,TIME_EXIT_RUNNER
HAL,2022-11-11,2022-11-16,1182.29,1278.65,8.15,TARGET_HIT
HAL,2024-02-06,2024-02-12,2874.14,2764.95,-3.8,MOMENTUM_FADE
HAL,2025-09-25,2025-10-06,4735.85,4805.28,1.47,TIME_EXIT
HAVELLS,2024-03-26,2024-04-04,1468.83,1519.39,3.44,TIME_EXIT
HAVELLS,2024-07-03,2024-07-12,1861.26,1890.53,1.57,TIME_EXIT
HCLTECH,2024-08-13,2024-08-19,1484.93,1564.97,5.39,PARTIAL_EXIT_50%
HCLTECH,2024-08-13,2024-08-22,1484.93,1562.78,5.24,TIME_EXIT_RUNNER
HDFCBANK,2023-07-06,2023-07-17,815.2,817.1,0.23,TIME_EXIT
HDFCLIFE,2021-09-28,2021-10-07,716.97,716.52,-0.06,TIME_EXIT
HDFCLIFE,2022-12-29,2023-01-05,565.63,603.72,6.73,PARTIAL_EXIT_50%
HDFCLIFE,2022-12-29,2023-01-09,565.63,602.73,6.56,TIME_EXIT_RUNNER
HDFCLIFE,2023-01-27,2023-01-31,582.17,573.41,-1.51,MOMENTUM_FADE
HDFCLIFE,2025-06-09,2025-06-18,758.3,764.09,0.76,TIME_EXIT
HEROMOTOCO,2022-11-24,2022-11-29,2358.94,2495.86,5.8,PARTIAL_EXIT_50%
HEROMOTOCO,2022-11-24,2022-12-01,2358.94,2534.29,7.43,RSI_OVERBOUGHT_RUNNER
HINDALCO,2022-12-14,2022-12-23,460.22,421.24,-8.47,STOP_LOSS
HINDALCO,2025-07-31,2025-08-01,678.08,667.55,-1.55,MOMENTUM_FADE
HINDALCO,2026-01-12,2026-01-14,920.15,955.35,3.83,RSI_OVERBOUGHT
HINDUNILVR,2022-06-03,2022-06-07,2135.99,2061.1,-3.51,MOMENTUM_FADE
HINDUNILVR,2022-08-29,2022-09-07,2421.72,2411.19,-0.43,TIME_EXIT
HINDUNILVR,2025-08-11,2025-08-20,2498.76,2648.98,6.01,PARTIAL_EXIT_50%
HINDUNILVR,2025-08-11,2025-08-21,2498.76,2627.35,5.15,TIME_EXIT_RUNNER
HINDUNILVR,2025-09-09,2025-09-18,2621.39,2566.62,-2.09,TIME_EXIT
ICICIBANK,2021-11-12,2021-11-22,753.32,729.45,-3.17,MOMENTUM_FADE
ICICIGI,2023-09-22,2023-09-25,1320.81,1293.53,-2.07,MOMENTUM_FADE
ICICIPRULI,2024-04-23,2024-04-24,592.45,574.29,-3.06,MOMENTUM_FADE
ICICIPRULI,2024-08-16,2024-08-27,719.1,743.17,3.35,TIME_EXIT
ICICIPRULI,2025-06-09,2025-06-18,636.71,631.45,-0.83,TIME_EXIT
IDBI,2021-12-15,2021-12-17,48.64,43.58,-10.41,STOP_LOSS
